,Words,Frequency
0,food,27
1,love,6
2,life,4
3,Kolkata,2
4,foodporn,23
5,foodloverskolkata,9
6,foodgasms,10
7,foodphotography,25
8,instafood,17
9,foodlicious,11
10,indianblogger,13
11,kolkatablogger,7
12,allaboutfood,7
13,foodie,17
14,indianfood,4
15,indianfoodbloggers,9
16,kolkatafoodguide,10
17,foodstagram,11
18,foodblogger,11
19,footfetishnation,2
20,healthyfood,6
21,buzztasy,10
22,delhiblogger,11
23,foodblogfeed,8
24,foodinstagram,5
25,foodinspiration,5
26,kolkatadiaries,9
27,momo,2
28,dimsum,1
29,eeeeeats,4
30,indianfoodie,7
31,foodtalkindia,2
32,lbbkolkata,2
33,foodintheair,5
34,momos,2
35,kolkatagram,5
36,eggslut,1
37,chinesefood,8
38,kolkatasutra,4
39,cityofjoy,1
40,streetfood,2
41,indianstreetfood,5
42,foodiesofinstagram,2
43,bangaloreblogger,1
44,bangalorediaries,1
45,bangalorefoodies,1
46,bangalore,1
47,lbbbangalore,1
48,chinese,1
49,delish,1
50,foodies,6
51,foodlover,8
52,sokolkata,9
53,thekolkatabuzz,1
54,shisha,1
55,hookah,1
56,smoke,1
57,instashisha,1
58,delhifood,1
59,indianhookah,1
60,campus,1
61,photography,3
62,streetphotography,1
63,hustle,1
64,foods,1
65,foodgasm,3
66,foodfreaks_jpr,9
67,igers,5
68,igersrajasthan,5
69,instagood,8
70,instalife,2
71,instagram,8
72,lollypops,1
73,strawberry,1
74,chocolate,3
75,aampanna,1
76,yummy,3
77,thegreatindianfoodie,9
78,mumbaistreetfood,9
79,gannaseekh,1
80,jaipur,3
81,jaipurfood,1
82,masalaministry,1
83,tasty,3
84,jaipurcafes,1
85,freaks,3
86,jaipurlife,1
87,ravioli,1
88,italian,1
89,f52grams,1
90,rajasthan,1
91,iphonepic,3
92,loveit,3
93,amazing,1
94,goodcompany,1
95,meatballs,1
96,noodles,1
97,amritsarhouse,1
98,f52gram,1
99,goodfood,2
100,foodiliciousmumbai,1
101,foodoholic,1
102,food52,1
103,jaipurcafe,1
104,chicken,3
105,parmesancheese,1
106,delicious,1
107,desifood,6
108,delhifoodblogger,12
109,desikhana,5
110,fblog,5
111,foodieslove,5
112,foodblogging,5
113,foodgrams,5
114,jaipur_wale,5
115,jaipurbloggers,5
116,jaipurmag,5
117,jaipurcityblog,5
118,jaipurfoodblog,5
119,mumbaiblogger,6
120,vforveggie,5
121,dosaboy,5
122,delhivegblogger,5
123,southindia,1
124,rawa,1
125,idli,1
126,sagarratna,1
127,zolocrust,1
128,esperesso,1
129,coffee,4
130,bwc,1
131,cookies,1
132,cream,1
133,sweet,1
134,italy,1
135,pizza,2
136,healthy,3
137,poha,1
138,indoripoha,1
139,indiansnacks,6
140,indianspices,4
141,FoodTalkindia,7
142,foodfoodfood,4
143,foodpost,2
144,foodfantasea,2
145,buzzfeastfood,9
146,buzzfood,2
147,kolkatafoodblogger,9
148,kolkatabuzz,9
149,indianfoodtales,6
150,mumbaifoodie,1
151,zingyzest,2
152,eattreat,6
153,tasteofindia,5
154,igkolkata,4
155,kolkatafoodie,1
156,indiancooking,6
157,indianfoodblog,3
158,healthylifestyle,1
159,indiafoodtale,1
160,soindia,6
161,instafit,1
162,indiankitchen,4
163,tasteintravel,1
164,buzzfeedfood,8
165,travelindia,2
166,travelgram,3
167,instaphoto,1
168,travelphotography,2
169,fashionindia,1
170,instatravel,2
171,incredibleindia,4
172,traveler,1
173,traveladdict,1
174,walkwithindia,2
175,travelfood,1
176,naturelovers,2
177,tourist,1
178,foodiegram,2
179,foodaddict,1
180,kolktadiaries,1
181,indianlunch,1
182,foodbeast,1
183,instapic,1
184,igcalcutta,1
185,kolkatatimes,1
186,kollatadiaries,1
187,storiesofkolkata,3
188,zomato,1
189,pastry,1
190,kolkatasweets,1
191,dessertstagram,1
192,dessertlover,1
193,mumbaifoodies,3
194,chennaifoodie,2
195,westbengal,1
196,travelfoodie,1
197,kolkatabloggers,1
198,beautyofindia,1
199,naturephotography,1
200,naturalbeauty,1
201,igersgreenville,1
202,greenview,1
203,travelblogger,1
204,instatraveling,1
205,indiaclicks,2
206,indiafood,1
207,burger,2
208,veganfood,1
209,vegans,1
210,desifoodie,1
211,foodswerve,10
212,like4likes,10
213,comment4comment,5
214,follow4followback,6
215,spicyfood,2
216,indianspicyfood,2
217,girl,4
218,delhite,5
219,fitness,1
220,cafecoffeeday,1
221,like4follow,1
222,ccd,1
223,instadaily,1
224,chillicheesetoast,1
225,fries,2
226,frenchfries,1
227,burgers,2
228,cheese,1
229,fastfood,1
230,spicy,1
231,hamburger,1
232,dinner,1
233,burgerporn,1
234,shakes,1
235,icecream,1
236,milkshake,1
237,ZingyZest,6
238,sodelhi,6
239,dfordelhi,4
240,delhistreetfood,4
241,delhifoodwalks,3
242,onlyindelhi,1
243,proteinshakes,1
244,delhistreetwalk,1
245,milkshakes,2
246,follow,1
247,follower,1
248,like,2
249,followback,1
250,followers,1
251,followme,1
252,likes,1
253,followforfollow,1
254,followforfollowback,1
255,dilli,1
256,likeforlikes,2
257,likeforfollow,1
258,followall,1
259,like4likealways,1
260,commentatk,1
261,followbackteam,1
262,indian,1
263,followalways,1
264,indiangirls,1
265,pleasefollow,1
266,instalike,1
267,likeforlike,1
268,teamfollowback,1
269,followforlike,1
270,oreoshake,1
271,mudpotshake,1
272,oreo,1
273,freakshakelove,1
274,shakeslovers,1
275,oreomudpotshake,1
276,gastronomicjournal,3
277,coldcoffee,1
278,chocolove,1
279,socialoffline,1
280,thelondonshakes,1
281,freakshakes,1
282,mangoshake,1
283,oreolover,1
284,mojito,1
285,pasta,1
286,chocolateshake,1
287,chocolatemilk,1
288,thisisdelhi,2
289,cafe,2
290,coffeetime,2
291,coffeeshop,2
292,coffeelover,1
293,espresso,1
294,coffeelovers,1
295,coffeeaddict,1
296,latte,1
297,breakfast,1
298,coffeeholic,1
299,tea,1
300,instacoffee,1
301,cappuccino,1
302,latteart,1
303,caf,1
304,coffeegram,1
305,coffeebreak,1
306,art,1
307,caffeine,1
308,bhfyp,1
309,delhi,1
310,collegelife,1
311,foodstyling,1
312,foodbossindia,1
313,delhifoodbloggers,2
314,healthyfoodsharing,1
315,restaurant,1
316,northindianfood,1
317,momos_4k,1
318,starbucks,1
319,starbuckscoffee,1
320,starbuckstumbler,1
321,summer,1
322,indianfoodblogger,3
323,snapchat,1
324,india,1
325,snapchatfilter,1
326,delhibloggers,1
327,delhigram,2
328,delhidiaries,2
329,nomnom,2
330,paneer,3
331,southindianfood,2
332,photooftheday,2
333,dillifoodies,2
334,foodmapdelhi,2
335,delhiwale,2
336,delhofoodwalks,2
337,paneercalzone,1
338,chillipotatoes,1
