,0
0,cat
1,ship
2,ship
3,airplane
4,frog
5,frog
6,automobile
7,frog
8,cat
9,automobile
10,airplane
11,truck
12,dog
13,horse
14,truck
15,ship
16,dog
17,horse
18,ship
19,frog
20,horse
21,airplane
22,deer
23,truck
24,dog
25,bird
26,deer
27,airplane
28,truck
29,frog
30,frog
31,dog
32,deer
33,dog
34,truck
35,bird
36,deer
37,automobile
38,truck
39,dog
40,deer
41,frog
42,dog
43,frog
44,airplane
45,truck
46,cat
47,truck
48,horse
49,frog
50,truck
51,ship
52,airplane
53,cat
54,ship
55,ship
56,horse
57,horse
58,deer
59,frog
60,horse
61,cat
62,frog
63,cat
64,frog
65,bird
66,automobile
67,bird
68,cat
69,horse
70,bird
71,frog
72,ship
73,ship
74,airplane
75,bird
76,truck
77,cat
78,cat
79,ship
80,ship
81,automobile
82,automobile
83,horse
84,bird
85,dog
86,bird
87,horse
88,ship
89,truck
90,airplane
91,cat
92,ship
93,frog
94,deer
95,frog
96,horse
97,airplane
98,airplane
99,horse
100,deer
101,dog
102,frog
103,cat
104,automobile
105,automobile
106,cat
107,frog
108,ship
109,horse
110,deer
111,airplane
112,frog
113,bird
114,automobile
115,cat
116,airplane
117,deer
118,bird
119,horse
120,ship
121,cat
122,automobile
123,bird
124,ship
125,airplane
126,ship
127,cat
128,dog
129,bird
130,deer
131,automobile
132,ship
133,truck
134,automobile
135,bird
136,truck
137,horse
138,bird
139,truck
140,frog
141,dog
142,frog
143,cat
144,ship
145,horse
146,frog
147,bird
148,dog
149,bird
150,ship
151,truck
152,frog
153,airplane
154,airplane
155,dog
156,bird
157,truck
158,dog
159,deer
160,bird
161,automobile
162,frog
163,frog
164,ship
165,deer
166,ship
167,deer
168,dog
169,airplane
170,truck
171,truck
172,truck
173,ship
174,truck
175,truck
176,cat
177,horse
178,dog
179,airplane
180,airplane
181,dog
182,bird
183,bird
184,cat
185,ship
186,frog
187,cat
188,deer
189,airplane
190,dog
191,ship
192,airplane
193,automobile
194,horse
195,bird
196,ship
197,ship
198,horse
199,ship
200,dog
201,automobile
202,ship
203,horse
204,automobile
205,cat
206,airplane
207,dog
208,horse
209,truck
210,horse
211,deer
212,dog
213,truck
214,ship
215,airplane
216,horse
217,truck
218,ship
219,bird
220,horse
221,frog
222,truck
223,deer
224,cat
225,truck
226,frog
227,deer
228,horse
229,frog
230,dog
231,automobile
232,dog
233,ship
234,ship
235,airplane
236,deer
237,airplane
238,dog
239,dog
240,automobile
241,automobile
242,ship
243,truck
244,airplane
245,cat
246,automobile
247,truck
248,bird
249,bird
250,dog
251,cat
252,truck
253,truck
254,deer
255,airplane
256,cat
257,airplane
258,airplane
259,truck
260,ship
261,automobile
262,dog
263,horse
264,airplane
265,ship
266,bird
267,deer
268,horse
269,airplane
270,bird
271,cat
272,frog
273,cat
274,ship
275,dog
276,airplane
277,cat
278,deer
279,cat
280,truck
281,airplane
282,frog
283,automobile
284,airplane
285,truck
286,automobile
287,airplane
288,horse
289,truck
290,automobile
291,bird
292,frog
293,truck
294,cat
295,deer
296,frog
297,airplane
298,airplane
299,frog
300,frog
301,frog
302,cat
303,bird
304,frog
305,automobile
306,ship
307,bird
308,automobile
309,frog
310,ship
311,frog
312,ship
313,airplane
314,deer
315,airplane
316,horse
317,horse
318,dog
319,dog
320,cat
321,dog
322,bird
323,cat
324,deer
325,automobile
326,horse
327,dog
328,deer
329,frog
330,automobile
331,truck
332,cat
333,frog
334,frog
335,truck
336,cat
337,ship
338,airplane
339,horse
340,bird
341,frog
342,bird
343,dog
344,ship
345,dog
346,deer
347,frog
348,ship
349,truck
350,truck
351,automobile
352,airplane
353,bird
354,bird
355,horse
356,cat
357,bird
358,ship
359,airplane
360,truck
361,dog
362,ship
363,automobile
364,truck
365,deer
366,automobile
367,cat
368,ship
369,automobile
370,deer
371,horse
372,truck
373,deer
374,bird
375,horse
376,airplane
377,horse
378,airplane
379,frog
380,frog
381,truck
382,airplane
383,truck
384,bird
385,ship
386,horse
387,bird
388,bird
389,dog
390,automobile
391,bird
392,frog
393,bird
394,truck
395,frog
396,bird
397,cat
398,airplane
399,cat
400,truck
401,ship
402,horse
403,ship
404,ship
405,deer
406,airplane
407,automobile
408,ship
409,bird
410,horse
411,truck
412,cat
413,frog
414,automobile
415,truck
416,airplane
417,horse
418,cat
419,horse
420,deer
421,dog
422,airplane
423,airplane
424,bird
425,truck
426,cat
427,deer
428,airplane
429,frog
430,bird
431,dog
432,cat
433,horse
434,cat
435,horse
436,bird
437,dog
438,cat
439,automobile
440,automobile
441,deer
442,truck
443,truck
444,dog
445,horse
446,dog
447,airplane
448,bird
449,bird
450,bird
451,truck
452,horse
453,cat
454,truck
455,deer
456,cat
457,dog
458,deer
459,frog
460,dog
461,frog
462,automobile
463,deer
464,cat
465,deer
466,deer
467,cat
468,horse
469,ship
470,cat
471,horse
472,ship
473,airplane
474,dog
475,horse
476,frog
477,airplane
478,dog
479,ship
480,ship
481,frog
482,ship
483,dog
484,dog
485,truck
486,truck
487,truck
488,dog
489,airplane
490,automobile
491,airplane
492,ship
493,automobile
494,automobile
495,ship
496,airplane
497,bird
498,bird
499,airplane
500,deer
501,frog
502,dog
503,deer
504,truck
505,deer
506,horse
507,truck
508,truck
509,deer
510,dog
511,frog
512,frog
513,automobile
514,dog
515,cat
516,ship
517,truck
518,dog
519,ship
520,dog
521,horse
522,airplane
523,horse
524,airplane
525,dog
526,airplane
527,airplane
528,deer
529,frog
530,truck
531,airplane
532,truck
533,dog
534,frog
535,frog
536,frog
537,bird
538,truck
539,airplane
540,automobile
541,horse
542,frog
543,horse
544,dog
545,truck
546,automobile
547,frog
548,bird
549,dog
550,dog
551,dog
552,ship
553,dog
554,truck
555,deer
556,frog
557,deer
558,cat
559,bird
560,airplane
561,horse
562,frog
563,bird
564,bird
565,cat
566,truck
567,horse
568,truck
569,bird
570,frog
571,horse
572,automobile
573,cat
574,frog
575,frog
576,ship
577,truck
578,horse
579,dog
580,deer
581,airplane
582,ship
583,deer
584,airplane
585,truck
586,cat
587,deer
588,ship
589,truck
590,frog
591,truck
592,bird
593,frog
594,automobile
595,deer
